date,state,Total
2021-10,Mississippi,18785
2021-10,Missouri,43317
2021-10,Montana,12094
2021-10,Nebraska,2630
2021-10,Nevada,9124
2021-10,New Hampshire,10523
2021-10,New Jersey,13726
2021-10,New Mexico,12672
2021-10,New York,31635
2021-10,North Carolina,19654
2021-10,North Dakota,6504
2021-10,Ohio,44606
2021-10,Oklahoma,25269
2021-10,Oregon,27913
2021-10,Pennsylvania,76019
2021-10,Rhode Island,2365
2021-10,South Carolina,20900
2021-10,South Dakota,8759
2021-10,Tennessee,51856
2021-10,Texas,113442
2021-10,Utah,11111
2021-10,Vermont,4267
2021-10,Virginia,48412
2021-10,Washington,38910
2021-10,West Virginia,13511
2021-10,Wisconsin,39559
2021-10,Wyoming,5358
2021-09,Alabama,35701
2021-09,Alaska,6074
2021-09,Arizona,31637
2021-09,Arkansas,14612
2021-09,California,71912
2021-09,Colorado,36797
2021-09,Connecticut,8573
2021-09,Delaware,3921
2021-09,District of Columbia,345
2021-09,Florida,93685
2021-09,Georgia,28296
2021-09,Hawaii,0
2021-09,Idaho,13519
2021-09,Illinois,35314
2021-09,Indiana,38581
2021-09,Iowa,5622
2021-09,Kansas,13218
2021-09,Kentucky,21453
2021-09,Louisiana,23378
2021-09,Maine,10736
2021-09,Maryland,13883
2021-09,Massachusetts,10805
2021-09,Michigan,47393
2021-09,Minnesota,29709
2021-09,Mississippi,17374
2021-09,Missouri,38636
2021-09,Montana,10585
2021-09,Nebraska,2247
2021-09,Nevada,9474
2021-09,New Hampshire,10100
2021-09,New Jersey,14080
2021-09,New Mexico,13029
2021-09,New York,31393
2021-09,North Carolina,18511
2021-09,North Dakota,5505
2021-09,Ohio,40081
2021-09,Oklahoma,23567
2021-09,Oregon,26743
2021-09,Pennsylvania,67172
2021-09,Rhode Island,2365
2021-09,South Carolina,20202
2021-09,South Dakota,6712
2021-09,Tennessee,47031
2021-09,Texas,120719
2021-09,Utah,10521
2021-09,Vermont,3938
2021-09,Virginia,43919
2021-09,Washington,38781
2021-09,West Virginia,11796
2021-09,Wisconsin,36831
2021-09,Wyoming,5257
2021-08,Alabama,35872
2021-08,Alaska,6511
2021-08,Arizona,31544
2021-08,Arkansas,14084
2021-08,California,75703
2021-08,Colorado,36803
2021-08,Connecticut,8814
2021-08,Delaware,4302
2021-08,District of Columbia,341
2021-08,Florida,93910
2021-08,Georgia,28688
2021-08,Hawaii,0
2021-08,Idaho,13001
2021-08,Illinois,41367
2021-08,Indiana,38341
2021-08,Iowa,5595
2021-08,Kansas,12856
2021-08,Kentucky,20674
2021-08,Louisiana,22020
2021-08,Maine,8377
2021-08,Maryland,14631
2021-08,Massachusetts,11620
2021-08,Michigan,43324
2021-08,Minnesota,28632
2021-08,Mississippi,19543
2021-08,Missouri,37102
2021-08,Montana,9459
2021-08,Nebraska,2004
2021-08,Nevada,9751
2021-08,New Hampshire,9478
2021-08,New Jersey,15958
2021-08,New Mexico,12686
2021-08,New York,28630
2021-08,North Carolina,17025
2021-08,North Dakota,5026
2021-08,Ohio,39321
2021-08,Oklahoma,22789
2021-08,Oregon,26203
2021-08,Pennsylvania,69445
2021-08,Rhode Island,2265
2021-08,South Carolina,19787
2021-08,South Dakota,6145
2021-08,Tennessee,49263
2021-08,Texas,108523
2021-08,Utah,9768
2021-08,Vermont,3609
2021-08,Virginia,44972
2021-08,Washington,35609
2021-08,West Virginia,11336
2021-08,Wisconsin,34753
